Dataset,Model,Split,Train_Accuracy,Validation_Accuracy,Parameters
BCW,KNN,80/20,1.000000,0.634436,"{""n_neighbors"": 455}"
BCW,KNN,50/50,1.000000,0.952523,"{""n_neighbors"": 1}"
BCW,KNN,50/50,1.000000,0.913942,"{""n_neighbors"": 142}"
BCW,KNN,50/50,1.000000,0.840196,"{""n_neighbors"": 284}"
BCW,KNN,20/80,1.000000,0.952523,"{""n_neighbors"": 1}"
BCW,KNN,20/80,1.000000,0.947306,"{""n_neighbors"": 57}"
BCW,KNN,20/80,1.000000,0.920975,"{""n_neighbors"": 113}"
BCW,ANN,80/20,1.000000,0.959556,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
BCW,ANN,80/20,1.000000,0.963127,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
BCW,ANN,80/20,1.000000,0.961341,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
BCW,ANN,50/50,1.000000,0.952554,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
BCW,ANN,50/50,1.000000,0.966636,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
BCW,ANN,50/50,1.000000,0.963111,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
BCW,ANN,20/80,1.000000,0.963049,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
BCW,ANN,20/80,1.000000,0.961372,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
BCW,ANN,20/80,1.000000,0.964881,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
mushroom,SVM,80/20,0.998030,0.875770,"{""C"": 0.005}"
mushroom,SVM,80/20,0.999908,0.924016,"{""C"": 0.1}"
mushroom,SVM,80/20,1.000000,0.952713,"{""C"": 1}"
mushroom,SVM,80/20,1.000000,0.952714,"{""C"": 2}"
mushroom,SVM,80/20,1.000000,0.948777,"{""C"": 5}"
mushroom,SVM,80/20,1.000000,0.946808,"{""C"": 10}"
mushroom,SVM,80/20,1.000000,0.968729,"{""C"": 100}"
mushroom,SVM,50/50,0.998030,0.875770,"{""C"": 0.005}"
mushroom,SVM,50/50,0.999908,0.924016,"{""C"": 0.1}"
mushroom,SVM,50/50,1.000000,0.952713,"{""C"": 1}"
mushroom,SVM,50/50,1.000000,0.952714,"{""C"": 2}"
mushroom,SVM,50/50,1.000000,0.948777,"{""C"": 5}"
mushroom,SVM,50/50,1.000000,0.946808,"{""C"": 10}"
mushroom,SVM,50/50,1.000000,0.968729,"{""C"": 100}"
mushroom,SVM,20/80,0.998030,0.875770,"{""C"": 0.005}"
mushroom,SVM,20/80,0.999908,0.924016,"{""C"": 0.1}"
mushroom,SVM,20/80,1.000000,0.952713,"{""C"": 1}"
mushroom,SVM,20/80,1.000000,0.952714,"{""C"": 2}"
mushroom,SVM,20/80,1.000000,0.948777,"{""C"": 5}"
mushroom,SVM,20/80,1.000000,0.946808,"{""C"": 10}"
mushroom,SVM,20/80,1.000000,0.968729,"{""C"": 100}"
mushroom,LOGREG,80/20,0.894018,0.877648,"{""C"": 0.0001, ""solver"": ""saga""}"
mushroom,LOGREG,80/20,0.988275,0.870857,"{""C"": 0.01, ""solver"": ""saga""}"
mushroom,LOGREG,80/20,0.999877,0.925249,"{""C"": 1, ""solver"": ""saga""}"
mushroom,LOGREG,80/20,1.000000,0.953572,"{""C"": 100, ""solver"": ""saga""}"
mushroom,LOGREG,80/20,1.000000,0.959114,"{""C"": 10000, ""solver"": ""saga""}"
mushroom,LOGREG,50/50,0.904542,0.853017,"{""C"": 0.0001, ""solver"": ""liblinear""}"
mushroom,LOGREG,50/50,0.988275,0.860262,"{""C"": 0.01, ""solver"": ""liblinear""}"
mushroom,LOGREG,50/50,0.999877,0.924387,"{""C"": 1, ""solver"": ""liblinear""}"
mushroom,LOGREG,50/50,1.000000,0.946182,"{""C"": 100, ""solver"": ""liblinear""}"
mushroom,LOGREG,50/50,1.000000,0.942859,"{""C"": 10000, ""solver"": ""liblinear""}"
mushroom,LOGREG,20/80,0.904542,0.853017,"{""C"": 0.0001, ""solver"": ""liblinear""}"
mushroom,LOGREG,20/80,0.988275,0.860262,"{""C"": 0.01, ""solver"": ""liblinear""}"
mushroom,LOGREG,20/80,0.999877,0.924387,"{""C"": 1, ""solver"": ""liblinear""}"
mushroom,LOGREG,20/80,1.000000,0.946182,"{""C"": 100, ""solver"": ""liblinear""}"
mushroom,LOGREG,20/80,1.000000,0.942859,"{""C"": 10000, ""solver"": ""liblinear""}"
mushroom,RF,80/20,0.999969,0.954576,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
mushroom,RF,80/20,1.000000,0.935857,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
mushroom,RF,80/20,1.000000,0.932285,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
mushroom,RF,50/50,1.000000,0.936473,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
mushroom,RF,50/50,1.000000,0.919724,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
mushroom,RF,50/50,1.000000,0.927113,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
